chokepoint_id,mae,mape,sample_count
CP_034,0.1014,4.8590,84
CP_035,0.0957,4.4554,84
CP_065,0.0945,6.2252,84
CP_044,0.0943,4.5930,84
CP_056,0.0929,4.5245,84
CP_017,0.0924,5.5967,84
CP_001,0.0921,5.8910,84
CP_055,0.0920,5.1896,84
CP_013,0.0920,4.5707,84
CP_048,0.0917,5.2241,84
CP_045,0.0914,6.1232,84
CP_075,0.0914,4.8385,84
CP_014,0.0914,6.1622,84
CP_020,0.0906,5.8128,84
CP_047,0.0905,6.0056,84
CP_058,0.0902,5.8730,84
CP_071,0.0900,4.8415,84
CP_049,0.0896,4.9235,84
CP_009,0.0894,4.8993,84
CP_004,0.0890,5.0669,84
CP_064,0.0886,5.6090,84
CP_046,0.0885,4.8368,84
CP_031,0.0884,4.6151,84
CP_063,0.0883,4.2282,84
CP_052,0.0878,4.5645,84
CP_024,0.0878,5.6381,84
CP_032,0.0876,5.9033,84
CP_021,0.0875,4.8881,84
CP_008,0.0867,4.4383,84
CP_050,0.0866,5.7174,84
CP_003,0.0864,4.5047,84
CP_061,0.0864,5.4336,84
CP_053,0.0864,4.1845,84
CP_057,0.0862,6.2109,84
CP_026,0.0855,4.2297,84
CP_002,0.0853,4.1539,84
CP_039,0.0848,4.5692,84
CP_066,0.0848,4.6666,84
CP_036,0.0845,4.4716,84
CP_062,0.0844,5.3108,84
CP_072,0.0843,5.7135,84
CP_042,0.0843,4.7702,84
CP_005,0.0840,5.6016,84
CP_023,0.0836,5.4490,84
CP_012,0.0835,3.8833,84
CP_068,0.0834,4.2547,84
CP_074,0.0834,4.3200,84
CP_028,0.0830,4.9281,84
CP_018,0.0821,4.5965,84
CP_060,0.0806,5.0366,84
CP_006,0.0805,5.5314,84
CP_016,0.0805,5.2913,84
CP_015,0.0801,5.4637,84
CP_043,0.0800,5.7751,84
CP_033,0.0798,5.7690,84
CP_037,0.0794,5.0336,84
CP_025,0.0783,4.7994,84
CP_070,0.0782,3.6962,84
CP_019,0.0780,4.7258,84
CP_010,0.0777,4.1308,84
CP_007,0.0775,5.5058,84
CP_054,0.0769,3.7694,84
CP_059,0.0761,5.5305,84
CP_067,0.0755,5.2874,84
CP_029,0.0755,4.3162,84
CP_011,0.0748,5.4280,84
CP_073,0.0743,5.4272,84
CP_040,0.0740,4.4415,84
CP_027,0.0739,5.0738,84
CP_069,0.0727,5.1501,84
CP_051,0.0717,3.3558,84
CP_038,0.0716,5.1055,84
CP_030,0.0684,4.8965,84
CP_041,0.0625,4.3636,84
CP_022,0.0617,4.4790,84
